Equipo001;Sitio001;mexico;Huawei;X8A;huawei.8.1;abcdef001;0/0/1/0;10000000000;Equipo001-0/0/1/0;up;up
Equipo001;Sitio001;mexico;Huawei;X8A;huawei.8.1;abcdef001;0/0/1/1;10000000000;Equipo001-0/0/1/1;up;down
Equipo001;Sitio001;mexico;Huawei;X8A;huawei.8.1;abcdef001;0/0/1/2;10000000000;Equipo001-0/0/1/2;down;up
Equipo001;Sitio001;mexico;Huawei;X8A;huawei.8.1;abcdef001;0/0/1/3;10000000000;Equipo001-0/0/1/3;down;down
Equipo001;Sitio001;mexico;Huawei;X8A;huawei.8.1;abcdef001;0/0/1/4;10000000000;Equipo001-0/0/1/4;up;up
Equipo001;Sitio001;mexico;Huawei;X8A;huawei.8.1;abcdef001;0/0/1/5;10000000000;Equipo001-0/0/1/5;up;up
Equipo001;Sitio001;mexico;Huawei;X8A;huawei.8.1;abcdef001;0/0/1/6;10000000000;Equipo001-0/0/1/6;up;up
Equipo001;Sitio001;mexico;Huawei;X8A;huawei.8.1;abcdef001;0/0/1/7;10000000000;Equipo001-0/0/1/7;up;down
Equipo002;Sitio001;mexico;Huawei;X16A;huawei.16.1;abcdef002;0/0/1/0;100000000000;Equipo002-0/0/1/0;down;up
Equipo002;Sitio001;mexico;Huawei;X16A;huawei.16.1;abcdef002;0/0/1/1;100000000000;Equipo002-0/0/1/1;up;up
Equipo002;Sitio001;mexico;Huawei;X16A;huawei.16.1;abcdef002;0/0/1/2;10000000000;Equipo002-0/0/1/2;up;down
Equipo002;Sitio001;mexico;Huawei;X16A;huawei.16.1;abcdef002;0/0/1/3;10000000000;Equipo002-0/0/1/3;down;up
Equipo002;Sitio001;mexico;Huawei;X16A;huawei.16.1;abcdef002;0/0/1/4;10000000000;Equipo002-0/0/1/4;down;down
Equipo002;Sitio001;mexico;Huawei;X16A;huawei.16.1;abcdef002;0/0/1/5;10000000000;Equipo002-0/0/1/5;up;up
Equipo002;Sitio001;mexico;Huawei;X16A;huawei.16.1;abcdef002;0/0/1/6;10000000000;Equipo002-0/0/1/6;up;up
Equipo002;Sitio001;mexico;Huawei;X16A;huawei.16.1;abcdef002;0/0/1/7;10000000000;Equipo002-0/0/1/7;up;up
